Timestamp,Concentration (or best guess),Secondary (if applicable),Graduation Year,Prior CS background:,Do you have plans to take any CS courses in the future?,Are you interested in getting a:,Are you interested in pursuing a job with a quantitative focus after graduation?,"Have you ever considered taking a computer science course? If not, why not? If you have considered it, why did you decide not to take it?","In your opinion, should some programming knowledge be a requirement for graduation? If not, why not? If so, why?",What three words best describe a computer science concentrator at Harvard?,What made you decide to take your first CS course?,What were your impressions of CS students before you took your first class? After?,How accessible was the professor of this class?,How accessible were the teaching fellows of this class?,"Do you think you’ll take another CS class? If so, why? If not, why not?",How good are you at programming compared to others in the CS classes you've taken?,How good are you at CS theory compared to others in the CS classes you've taken?,What CS classes have you taken or are currently taking?,What is your estimated concentration GPA?,How many years have you been programming?,How often do you go to office hours on average for your CS classes?,How often do you think the average CS student goes to office hours?,How accessible are professors in your CS classes?,How accessible are teaching fellows in your CS classes?,How often do you interact with your CS class course staff?,How involved do you feel with the CS community at Harvard?,"Do you consider yourself a member of any tech student organizations on campus? If yes, specify which ones.",How easy is it to find partners to work with on psets or final projects?,Are there any specific classes in which finding partners has been hard?,How have you met people to work on class material with?,I like CS because it gives me a tool to make a difference in other areas I care about.,I like CS because I am interested in the CS problems I get to think about and solve.,"If you are a sophomore, junior, or senior, what did you do last summer?",How stressful is the process of finding a summer internship/job?,"Have you ever been referred to a tech internship or full-time position? If so, how many times?","Do you have a role model and/or mentor in CS? If so, who? ",Do you feel like you need more support in CS from:,What three words would you use to describe a computer science concentrator?,What will you most likely pursue after graduation?,What type of graduate school are you interested in?,What subfield in tech industry would you be interested in working in?,What gender do you identify with,What race(s) do you identify with?,"By your estimates, is there a gender gap in enrollment in CS classes?","If yes, what factors (related or unrelated to college) do you think cause this gap?","If yes, what is the impact of this gender gap on your experience of CS at Harvard? "
4/5/2017 23:15:05,Math and Physics,,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,"I want to learn programming because it seems useful for physics, and for mathematical careers in general.",CS students were smart and spend a lot of time programming. After: they're also nice!,3,5,"Maybe, if I can fit it into my schedule!",,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,4,"Pipeline problem, fewer interested students coming from high school; perception of CS being hard to get into; stereotypes discouraging girls from starting in CS","Luckily some of my problem set buddies are also girls. In general, I feel worse about asking for help, because I don't want it to seem like I can't do it just because I'm a girl..."
4/5/2017 23:15:26,Economics,Computer Science,2018,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,"CS50 was popular, and I had taken a CS course in high school","Before: people who like to sit in a room all day and code. After: some are like that, but many at Harvard aren't.",2,3,Yes because it is an interesting field,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,4,"Men historically have gone to quantitative fields, so it was easy to keep that trend. ","Actually, as an Asian male I feel there is such an expectation to be so good at CS, so I'm afraid to take courses in CS because professors/TFs have an unrealistic expectation of me and aren't as willing to support me personally in comparison to those groups who are historically underrepresented. I'm not complaining about that because I know other groups need support, but it definitely has been my experience and is a little unfair at the individual level. "
4/5/2017 23:16:30,Integrative Biology,GHHP,2017,Never taken CS at Harvard,No,Neither of the above,No,No - it didn't align with my interests and I was intimidated because I never took one,"I think I would've benefited from having taken one, but I wouldn't have done so if it weren't required ",intense brilliant innovative ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,"Caucasian, Hispanic or Latino",5,Societal standards ,Professors and lack of mentors 
4/5/2017 23:16:41,Computer Science,Econ,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,3,"CS50, CS51",3.5,1,1-2 times a semester,3-8 times a semester,3,4,3-8 times a semester,4,HCS,5,No,Through classes & friends,5,5,Freshman,5,0 - never been referred,N/A,"Teaching Staff, Professors","Smart, hardworker, resilient","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking, Machine Learning / Artificial Intelligence, Hardware / Embedded Systems, Image processing / VR, Systems engineering",Male,Caucasian,3,Less interest for CS from women,Would be more interesting/diverse if it was more balanced
4/5/2017 23:17:31,Electrical Engineering,,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Major Requirement,"Before I thought that CS students had a large workload, and this was only cinfirmed by my CS50 experience.",1,5,"I will probably take another, I really enjoyed my first class.",,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,5,I think that access to computer science and technology programs are largely out of reach or discouraged for girls at an early age.,I was not able to get much help from all-male groups and felt uncomfortable breaking into men's spaces.
4/5/2017 23:19:00,Sociology,GHHP,2020,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,had cs background,nerdy + weird,2,4,Did not enjoy cs50. Thought it was very male centered. Did not like learning from videos,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,4,Social stigma /society,Many guys like to code on their own and look down upon you when you ask for help with a pset
4/5/2017 23:19:22,Computer Science,,2017,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,4,"CS51, CS61, CS121, CS124, CS181, CS182, Stat110",,5,3-8 times a semester,3-8 times a semester,3,4,3-8 times a semester,3,n/a,3,n/a,"piazza, office hours, outside of class",5,5,research,4,0 - never been referred,"@harvard: Prof. Finale Doshi-Velez; outside of harvard: Zuckerberg, Jobs","Advisors, Teaching Staff, Mentors","practical, quantitative, entrepreneurial","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking, Machine Learning / Artificial Intelligence, Graphics / Design, Image processing / VR",Female,Asian,3,"Stigma, established bro-y-ness of CS in some tech settings",Sometimes difficult to find partners who are not interested in dating me
4/5/2017 23:19:43,Economics,VES,2020,Never taken CS at Harvard,Yes,Neither of the above,No,Good to know a little bit of code in a lot of future careers,"No, not as important for all jobs yet","Smart, Skilled, Busy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,4,"The technology sector has always had a gender gap, difference in interests and gender norms",None
4/5/2017 23:20:30,HDRB,Music,2018,Never taken CS at Harvard,No,Neither of the above,No,"I think I won't need it directly, or that someone can do it for me.","I think not, because I really won't need it directly for my work. ","wears glasses, looks tired, always has a laptop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,4,I think women don't think welcomed.,Makes me hesitant to join as a woman.
4/5/2017 23:20:30,History,,2017,Never taken CS at Harvard,No,Neither of the above,No,Didn't have time,"Yes, it's important these days","smart, driven, busy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Caucasian,3,"pre-college experience, perceptions",not good
4/5/2017 23:20:51,Chemistry-Biomedical Engineering,,2018,Never taken CS at Harvard,No,Neither of the above,No,My many of my concentration requirements are demanding and taking CS50 with them would be a large load.,"Yes.  I took the PS12 series, and my coding experience through that course and ES53 was extremely helpful.  ",Fast Creative Dedicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,"Black or African American, Caucasian",3,"Women may be intimidated not necessarily by the people at college, but the potential male-centered environment at her job in the future.",Most of the people I know who code are males.  
4/5/2017 23:21:14,Bioengineering,Music,2017,Never taken CS at Harvard,No,Neither of the above,No,No,Yes,"Busy, brilliant, prepared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Hispanic or Latino,3,Unclear,Unclear
4/5/2017 23:21:17,Computer science ,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,3,"CS20, CS50, CS51",3.8,3,At least once a week,At least once a week,3,5,At least once a week,2,Wics ,2,Not yet,Sort of,3,5,N/a,4,0 - never been referred,"Advisor, WICS mentor","Advisors, Teaching Staff, Professors","Focused, logical, progressive","Tech Industry (includes all roles - software, PM, etc.)",,"Product Management, Business development / growth hacking, Security Engineering, Systems engineering, Uncertain",Female,Hispanic or Latino,4,Guys start earlier and then are ahead and that's intimidating ,Feeling dumb a lot ...
4/5/2017 23:21:25,Classics,,2020,Never taken CS at Harvard,Yes,Neither of the above,No,"Yes, my high school didn't offer any CS courses and I've not had the room in my schedule yet here","No, people have varying interests and skill sets and shouldn't be forced to take something outside either of those","Meticulous, hardworking, sleep-deprived",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,3,Stereotypes that women can't be good at STEM,N/A
4/5/2017 23:22:08,Biomedical Engineering,Global Health and Health Policy,2020,Never taken CS at Harvard,Yes,Neither of the above,No,"Yes, to become proficient in programming languages and for requirements for my concentration",I don't think it should be for concentrations that are not technology-based. I believe that takes away some freedom from humanities or other concentrators who do not wish to take STEM-based courses.,computer science concentrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,3,I think an overall gap of women in STEM areas is a general contributor. I don't really know reasons outside of that.,"None for me, specifically"
4/5/2017 23:22:09,Computer Science,Stats,2019,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,4,"CS50, CS51, CS61, CS121, CS124",3.85,2,1-2 times a semester,3-8 times a semester,1,5,3-8 times a semester,2,No,4,No,Yes,4,4,Web development at Sany,4,0 - never been referred,No,"Advisors, Teaching Staff, Professors","Extra, Smart, Dead","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Product Management, Business development / growth hacking, Machine Learning / Artificial Intelligence",Male,Asian,3,Social norms,None
4/5/2017 23:23:05,HEB,,2020,Never taken CS at Harvard,Yes,Neither of the above,No,"yes, CS50; I didn't take it because I have 0 background in CS and people said it was difficult","No, because some people may simply be uninterested.","""I took CS50""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,2,STEM is still a male-heavy field,N/A
4/5/2017 23:24:33,Neurobiology,Global Health and Health Policy,2017,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,"never been exposed, thought it would be useful introduction","nerdy, more logic oriented, same after",2,5,"I won't be able to because I'm a graduating senior, but I didn't not take any more after the first one because I didn't really enjoy it. I think I would have been more likely to take a cs class if it was applied to a field I'm interested in. There were a couple biological data science classes started this year but I couldn't fit them into my schedule.",,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,4,the culture of people who code,didn't have a huge effect because I think the intro classes are less affected by it
4/5/2017 23:25:13,Integrative Biology,,2019,Never taken CS at Harvard,Yes,Neither of the above,No,Yes,"Yes, it would be a valuable part of a general education","Tired, stressed, caffeinated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,2,Historically dominated by men,No impact
4/5/2017 23:27:30,Economics,Statistics,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Concentration Requirement,Challenging,2,5,Possibly if I have room on my schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,2,the stigma of women in tech jobs and cs.,None
4/5/2017 23:27:32,Physics,Math,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,CS is very good to know for many fields. CS50 looked great.,Didn't think they were much different from most stem concentrators. Hasn't changed.,3,4,"Maybe. I'd like to, but CS classes are big time commitments and can be hard to juggle with other intense stem classes with lab work.",,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Caucasian,3,Video games and early age media conception geared towards male children.,Not too impactful. Not a massive Gap.
4/5/2017 23:28:09,Economics,Psychology,2020,Never taken CS at Harvard,No,Neither of the above,Yes,Do not want to take one because of the idea that one has to complete a fail project which is creative and complicated .,Definitely not. It is like a language of its own and only doing one course will not help the everyday graduate in their job. One has to get to a pretty high level for it to be of any use.,Mathematical Problem-solving Committed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,2,Computer science is for boys; humanities are for girls,Not much of an impact
4/5/2017 23:28:39,Religion & Government ,,2018,Never taken CS at Harvard,No,Neither of the above,No,No. It wouldn't help me nearly as much as some other courses in the field I want to go into. ,"No. I think a data requirement would be great, but not programming. We need a composition requirement beyond expos before we have a programming requirement, if we're going to be adding technical skills to our requirements.","Male, Asian, Shirt-Wearing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,"Caucasian, Hispanic or Latino",3,"Culture, culture, culture. ","All of my friends who are in CS are men. That doesn't really affect me at all, but is certainly true."
4/5/2017 23:28:55,Applied Maths in Economics,Global Health,2019,Never taken CS at Harvard,Yes,Neither of the above,Yes,"Intimidating 
I wish there were classes more focused on data treatment","Yes, computers are now everywhere so knowing how to code could serve useful","Hard working, Dedicated, Smart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,4,"Social Expectations
Culture and norms (intimidating, ""not a field for woman"" for a long time) ",It does not impact me
4/5/2017 23:29:01,Neurobiology,MBB or Ec,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,I was interested in learning about CS and thought that it would be an important skill to at least be introduced to. ,"They were always awake in the last hours of the night and it looked like a lonely, stressful life but the people were nice and chill when not psetting. My impressions haven't changed too much...",5,5,Maybe! But I don't know that I'd do very well and I'd be too concerned for my grade to enjoy the course as much as I would want to. ,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,2,"I took CS50, and felt that the gap wasn't too evident. I'd imagine that the field of CS and more upper level classes may have more of a gap.",I feel like I haven't personally experienced the gender gap on a large enough scale in CS to dramatically alter my experience of CS. 
4/5/2017 23:29:03,Electrical Engineering,Computer Science,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Concentration requirement,Wizards; clueless wizards.,1,4,"Yes, because I wanted to learn more beyond just CS50.",,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,1,N/A,N/A
4/5/2017 23:30:11,classics/linguistics,,2020,Never taken CS at Harvard,Yes,Neither of the above,No,idk i might because it's useful to know for life and scholarship but idk if ill have the room in my schedule or be good enough at it to take it,"no. just categorically, other than the expos requirement, harvard's gened and graduation requirements arent about knowing content, they're about exploring at least a few different ways of academic thinking.",already knows what theyre doing after graduation and theyre only a freshman. also overworked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Caucasian,4,idk,idk
4/5/2017 23:30:16,Electrical Engineering,,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Requirement,Before: CS is cool; After: CS is still pretty cool,2,4,"Yes, I am genuinely interested in CS",,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,4,"Misconceptions about CS that stems from a young age, CS50 is extra and stressful",It's very much a male-dominated space and I often feel underqualified in CS spaces
4/5/2017 23:33:50,Environmental Science and Public Policy,,2018,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,CS50!,"Before: geniuses! After: pretty smart, but mostly focused and hardworking.",2,3,Yes: want to learn more practical CS skills (Data science especially),,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,4,Historical trends,Not as much of a gap in CS50...
4/5/2017 23:34:50,HDRB,,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,"Enjoyed coding in high school, kind of missed it","B: hardworking, A: hardworking",3,5,"Yes, interested to learn more specialized concepts that might be applicable in my field",,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,2,"Encouragement of lifestyle that is unappealing to women, praise of men or boys when they succeed and encouragement when they struggle, versus downplaying of women and girls when they succeed and increasing neglect of women and girls as they struggle",not sure yet
4/5/2017 23:35:49,history and literature,spanish citation,2018,Never taken CS at Harvard,Yes,Neither of the above,No,"yes, but i didn't because i wanted to get my requirements out of the way first",no—i dont think there should be any discipline-specific requirements like that. too dictatorial,"stressed, prepared, employable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,3,"i don't know, as i've never taken a cs class before","i don't know, as i've never taken a cs class before"
4/5/2017 23:36:12,Neurobiology,Applied math,2019,Never taken CS at Harvard,Yes,Neither of the above,No,"Yes, but didn't fit in my schedule, and I didn't have much prior experience so I didn't feel comfortable taking a hard CS class while also taking other difficult classes","I don't think it should be mandatory, but I would strongly recommend some programming experience for everyone. I shy away from mandating anything outside of the typical gen ed areas because I feel like the benefit of ensuring that people are technologically literate would face too much backlash and too much resistance due to the perception of quantitative fields like CS as ""hard"" or ""only for people with mathy brains."" Basically, I think the social context of CS would make it infeasible and not worth the effort.",Guaranteed a job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,"Asian, Caucasian",3,"Active and passive misogyny in CS communities, perception of CS/math/related fields as ""too hard"" or requiring some kind of innate talent","I never intended to concentrate in CS, but felt discouraged from taking CS at the same time as other rigorous courses because I felt I wasn't smart enough to take so many hard classes at one time, especially classes where I might be well below average."
4/5/2017 23:37:08,Computer Science,History,2017,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,3,"CS20, CS50, CS51, CS61, CS121, CS124, CS179, CS181, Stat110",3.5,2.5,At least once a week,3-8 times a semester,3,4,At least once a week,4,No,5,No,In OH,5,5,Research in HCI and Teaching CS1+minor startup experience,5,3 or more,"Yes, Adam Kalai at MS research","Professors, Mentors","Nerdy, Geeky, tired",Research in a think tank,,,Female,Jewish,2,Exposure to technical tools,If at all positive -- I felt very welcomed at the department
4/5/2017 23:37:14,Chemical and Physical Biology,//,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,concentration,"before: hardcore CS, after: mixed",3,5,eh depends on if i do a secondary in CS,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,3,"boiiiiii if there is a gap, likely due to the nature of what we impose on girls on what is ""acceptable"" to do and study. At Harvard, maybe it's different, but at home, a woman engineer? pls let's be real.","I think at Harvard there's more of an understanding that women are intelligent and capable of doing things, and women who code are not looked down upon."
4/5/2017 23:37:16,Electrical Engineering,,2020,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Interest and skill building ,Awesome people. No change. ,3,5,Very likely. Interest. ,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Caucasian,3,Primary and secondary education and social expectations. ,Not much
4/5/2017 23:38:42,Sociology ,,2018,Never taken CS at Harvard,No,Neither of the above,No,I am worried about how hard they would be ,I think if it was made accessible and relatively painless than it could be helpful. ,"cult, intense, marketable ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,"Black or African American, Caucasian",3,lack of access to STEM for women ,I think it's just harder for women to be in a lot of these male dominated spaces.
4/5/2017 23:39:35,HDRB,,2018,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,I wanted to know the basics of CS,Intense,2,4,Yes. skills are invaluable ,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,4,Unsure,None
4/5/2017 23:42:23,Near Eastern Languages and Civilizations,English,2018,Never taken CS at Harvard,Yes,Neither of the above,No,I plan on taking one in the future.,"No, it's not applicable to everyone.",intense focused smart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Middle Eastern,3,More men being interested in it,none
4/5/2017 23:43:51,Government,Music,2018,Never taken CS at Harvard,No,Neither of the above,No,Considering taking CS1 to just get a general knowledge in programming. ,Yes. I think programming or a basic knowledge of it will be very useful going forward. Tech is completely integrated into our lives now and it seems logical that everyone should have at least some understanding of what's going on behind it all. ,"Focused, exhausted, intelligent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,"Asian, Caucasian",4,"Historically a male-dominated field, lack of lots of female faculty",N/a
4/5/2017 23:44:07,applied math,econ ,2020,Never taken CS at Harvard,Yes,Neither of the above,Yes,yes i'm going to take cs50 next fall,unsure,"smart, techy, david malan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,4,unsure,n/a
4/5/2017 23:45:39,Chemistry + Computer Science,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,4,"CS50, CS51",3.9,1,Never,1-2 times a semester,1,2,3-8 times a semester,1,No,2,CS50,FB message,5,5,N/A,5,0 - never been referred,No,Professors,"Finance, Tech, Startups",Biotech,,,Female,Asian,1,N/A,N/A
4/5/2017 23:46:00,neurobiology,psychology,2018,Never taken CS at Harvard,No,Neither of the above,No,"yes, but it's not really relevant to what I want to do, so I'd rather choose other courses over it. ","I think given the importance of technology in our current society, it should definitely be encouraged, but I think requiring it may be too much",cs is life ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Hispanic or Latino,3,"women don't tend to be pushed towards CS, and there's very little exposure to prominent CS females in society ",hasn't affected me
4/5/2017 23:46:19,Computer Science,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,3,2,"CS50, CS51",3.9,1.5,At least once a week,At least once a week,2,5,At least once a week,2,No,3,No,At office hours mainly,5,4,I'm a freshman!,4,1,David Malan :),"Peers, Advisors, Teaching Staff, Professors, Mentors","Rigorous, rewarding, recursive","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (backend), Business development / growth hacking, Machine Learning / Artificial Intelligence, Security Engineering, Systems engineering",Male,Asian,2,Lack of interest,Less women to work with unfortunately
4/5/2017 23:46:54,Social Studies,Economics,2019,Never taken CS at Harvard,No,Neither of the above,No,dropped out of CS50 after one week ,it should be but i'm glad it's not,"hard working, does not sleep, will make money",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Asian,4,stereotype threat ,more respect for cs ladies
4/5/2017 23:49:16,Computer Science,Statistics,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,3,"CS50, CS51",3.7,3,Never,3-8 times a semester,3,4,1-2 times a semester,4,Harvard Computer,4,N/A,"Class, mutual friends",5,5,Machine Vision Intern at Morpho Detection (airport security company),5,0 - never been referred,"Role models - Teddy Liu, Eric Timmerman, Harnek Gulati, Grace Zhang","Teaching Staff, Professors, Mentors","Awesome, analytical, persistent","Tech Industry (includes all roles - software, PM, etc.)",,"Web or mobile development (frontend), Web or mobile development (backend), Machine Learning / Artificial Intelligence, Security Engineering, Image processing / VR, Systems engineering",Female,Asian,3,Women are pointed more towards humanities by societal expectations,"This hasn't been too noticeable to me at Harvard yet, to be honest. "
4/5/2017 23:53:18,Electrical Engineering,Music,2019,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,Concentration requirement,"N/a, a little strange",2,3,Yes concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,"Asian, Caucasian",3,Women are not brought up with this in mind,None
4/5/2017 23:53:23,Sociology,,2018,Never taken CS at Harvard,No,Neither of the above,No,"No. I had no experience with it prior to college, and felt that I did not have the skills to take on a science of any kind or the preference to try it.","Maybe. I would not have liked to fulfill such a requirement, but it could be a very important skill for the future.","practical, career-focused, prepared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Hispanic or Latino,4,Stereotypes about CS and fields like it probably erase that idea for younger women. They may also feel like it's less accessible to them either in school or learning on their own.,"N/a. I have heard of a Women in CS group, but I've never interacted with it."
4/5/2017 23:54:44,Computer Science,,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,4,"CS50, CS51",4,7,Never,3-8 times a semester,3,4,At least once a week,3,no,5,no,Friends with similar interests,5,5,N/A,3,0 - never been referred,"Steve, a network admin at NASA Goddard Space Flight Center",None of the above,"driven, entrepreneurial, busy","Tech Industry (includes all roles - software, PM, etc.)",,"Machine Learning / Artificial Intelligence, Hardware / Embedded Systems, Security Engineering, Image processing / VR, Systems engineering",Male,Caucasian,4,"Stereotypes, lower likelihood of women staying in the program, the misogynist culture in the industry",Most people I know doing CS are male
4/5/2017 23:55:21,Cs,Econ,2020,"Taken at least one CS class, and intending to concentrate in CS",,,,,,,,,,,,4,4,"CS50, CS51",4,2,3-8 times a semester,3-8 times a semester,2,3,At least once a week,3,HCS,4,None,Neighbors in my dorm,5,5,Freshman,4,0 - never been referred,None,"Peers, Advisors, Teaching Staff, Professors, Mentors","Energetic, Intelligent, Interesting","Tech Industry (includes all roles - software, PM, etc.)",,Machine Learning / Artificial Intelligence,Male,Asian,4,Don't really know,"I think CS for me has been more of an individual endeavor so diversity hasn't mattered, yet. But I feel that it can definitely affect team performance "
4/6/2017 0:00:04,BME,,2020,Never taken CS at Harvard,Yes,Neither of the above,Yes,Im focusing on my other requirements as BME first. ,"Yes, very useful in growing world of technology. ",skilled dedicated stressed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Black or African American,4,"Patriarchy, seeing women as less capable",n/a
4/6/2017 0:01:01,HAA,,2019,Never taken CS at Harvard,No,Neither of the above,No,It's not an interest of mine and it seems unadventurous and stereotypical (not a challenge that would make me think in a new way),"Not only is it not applicable to all post-grad paths, any other related skills could be imparted by another course","driven, stereotypical, smart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,3,Women are discourage from STEM,The gender gap in the teaching staff is more of a concern
4/6/2017 0:03:30,IB,Music,2019,Never taken CS at Harvard,No,Neither of the above,No,"Yes. But CS50 is the intro one and most people I've spoken to really dislike it. Giant classes are generally not fun. I don't like the CS culture of competing over how little sleep you get, OH late at night etc.",No. Not applicable to everyone and every career path. Other than Expos (and everyone will write an essay at some point at Harvard) nothing else (even math) is required of everyone.,"Sleepless, interested",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,4,"Discouraging girls from computer games, math, tech. Perception of the industry as a geeky boys' club (propagated by media/pop culture). Most Harvard CS people have experience before, even if they say they don't, so there's a huge barrier to starting.",I have friends who have been discouraged/intimidated in classes. I don't really plan to take CS regardless
4/6/2017 0:04:50,Applied math,Eps,2019,Never taken CS at Harvard,Yes,Neither of the above,Yes,I've heard unpleasant things about cs50,"Not yet, since not everyone is inclined that way and not every job requires it. One can get out of many of the gened requirements ",Not sleeping enough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Caucasian,4,"Self selection, earlier stereotypes/pressure, culture of competition and stress",N/a
4/6/2017 0:05:32,Environmental Engineering,,2020,Never taken CS at Harvard,Yes,Neither of the above,Yes,I would like to take CS50! I just haven't had the chance yet.,Yes! It's as essential as writing in English.,"Smart, nerdy, prepared.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,3,"Women feel less encouraged at a young age to take on this type of hobby, then are actively unwelcome by bro-coding culture as they get older.",None so far.
4/6/2017 0:05:51,government,,2017,"Taken at least one CS class, and not intending to concentrate in CS",,,,,,,applicability of anticipated skills gained to future jobs,"hardos, prior experience with CS. more or less the same. ",1,5,"No--CS50 falsely sells itself as accessible to everyone when in fact, if I did not have genius CS friends to help me through it, everything after add-drop would have been impossible. That is not an exaggeration. I think CS is cool and I would love to continue to study it independently, but (although I know it's an anomaly in many ways) I couldn't bring myself to continue anything after the horrible, horrible experience that was CS50. ",,,,,,,,,,,,,,,,,,,,,,,,,,,Female,Caucasian,5,"unrelated, societal funneling of women away from STEM; some related factors also I'm sure, but I'm not deep enough into CS to speak to that. ","it's really great that there's the visible face of Zamyla and then regular female TFs etc, but (this is also partially a personal problem) not knowing any women personally who study CS that I could go to help for (bc numbers of Harvard women in CS are low) was not good "
4/6/2017 0:09:03,Economics,,2017,Never taken CS at Harvard,No,Neither of the above,Yes,Independent Coursework ,Yes.,"Stressed, Tired, Sellout ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Asian,3,Perceived need for prerequisite experience ,N/A
4/6/2017 0:12:32,NELC + Classics,,2019,Never taken CS at Harvard,No,Neither of the above,No,"I have; I've decided not to because I'm more interested in learning how to code than in learning CS, and was advised by more than one experienced CS student to learn coding from the internet rather than use a class at Harvard on it.","I think it ought to be a requirement in high school, but not in college: some coding is a basic skill necessary in the modern world for everyone, just like English and mathematics, but college-level computer science goes a lot farther than simple coding knowledge.",Hardworking. Innovative. Grounded.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,Caucasian,4,"From what my female CS friends have told me, programming culture is extremely male-dominated, and they find it uncomfortable.",None yet!
